date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,Next_Day_AQI
2023-01-01,129.58333333333334,38.4625,69.53750000000001,36.375,33.40833333333333,782.7083333333334,84.91666666666667,19.875,65.375,0.0,119.41666666666669
2023-01-02,119.41666666666669,59.99166666666667,98.88333333333333,47.270833333333336,49.38333333333333,905.7083333333334,71.70833333333333,19.725,51.583333333333336,0.0,154.29166666666666
2023-01-03,154.29166666666666,51.5125,77.68333333333334,25.3,27.175,542.7083333333334,80.125,19.75,36.41666666666666,0.0,117.20833333333331
2023-01-04,117.20833333333331,40.72083333333333,60.7875,18.0375,25.85833333333333,466.625,94.54166666666669,18.866666666666667,33.041666666666664,0.0,119.95833333333331
2023-01-05,119.95833333333331,43.60833333333333,63.775,14.445833333333333,28.491666666666664,487.625,103.04166666666669,17.4875,31.666666666666668,0.0,121.75
2023-01-06,121.75,46.22083333333333,67.63333333333334,14.491666666666667,31.429166666666664,515.0833333333334,108.25,18.45833333333333,28.08333333333333,0.0,132.08333333333334
2023-01-07,132.08333333333334,50.18333333333334,73.10416666666667,24.120833333333334,39.6375,682.1666666666666,101.625,19.925,29.25,0.0,145.79166666666666
2023-01-08,145.79166666666666,87.09583333333335,125.82916666666668,71.02083333333333,82.84166666666667,1645.7916666666667,104.625,19.195833333333333,39.208333333333336,0.0,180.2083333333333
2023-01-09,180.2083333333333,87.19583333333333,128.42083333333332,81.35416666666667,80.425,1781.0833333333333,93.375,19.34583333333333,69.95833333333333,0.0,180.41666666666663
2023-01-10,180.41666666666663,110.39166666666668,162.80416666666667,88.11666666666667,84.12916666666666,2022.9583333333333,79.41666666666667,19.825,72.70833333333333,0.0,158.54166666666666
2023-01-11,158.54166666666666,30.45,54.75,29.075,25.65,667.0833333333334,76.79166666666667,21.5125,77.16666666666667,0.2,80.29166666666667
2023-01-12,80.29166666666667,24.604166666666668,77.04166666666667,17.108333333333334,18.67083333333333,348.0416666666667,68.5,18.054166666666667,28.58333333333333,0.0,82.29166666666667
2023-01-13,82.29166666666667,33.55833333333333,62.78333333333333,30.291666666666668,28.53333333333333,615.6666666666666,81.54166666666667,15.1875,17.916666666666668,0.0,99.125
